Economy,Implementing Organization,Implementing Organization Link,Product Type,Sector,Fuel Type,Scope,Policy Name,Policy Type,Asset Link,Mandatory/Voluntary,Policy Status,Most Recent Effective Date,Test Procedures,Additional Notes,Test Procedures Link,Slug (For Url)
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Refrigeration/Refrigerator","Residential","Electric","This regulation covers brand new household refrigerators, freezers and refrigerator-freezers having a capacity of not more than 1,500 liters imported to or manufactured in the UAE. This regulation applies to electric mains-operated household refrigerating appliances, stand-alone or built-in configuration. ","UAE.S 5010 -3:2013","Label Comparative","https://etrans.esma.gov.ae/english/purchase-standards/pages/standard-details.aspx?standardid=6d3cdfd5-f075-e511-9402-005056b81473 ","mandatory","Published ","Tuesday, December 31, 2013 ","UAE.S IEC 62552:2013 "," "," ","uae-s-5010-32013"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Refrigeration/Refrigerator-Freezer","Residential","Electric","This regulation covers brand new household refrigerators, freezers and refrigerator-freezers having a capacity of not more than 1,500 liters imported to or manufactured in the UAE. This regulation applies to electric mains-operated household refrigerating appliances, stand-alone or built-in configuration. ","UAE.S 5010 -3:2011","Label Comparative","https://etrans.esma.gov.ae/english/purchase-standards/pages/standard-details.aspx?standardid=6d3cdfd5-f075-e511-9402-005056b81473 ","mandatory","Published ","Sunday, December 29, 2013 ","UAE.S IEC 62552:2013 "," "," ","uae-s-5010-32011"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Lighting/Tubular Lamp","Residential","Electric","This standard covers Linear fluorescent lamps for general lighting service T12, T8 and T5 halophosphate and triphosphate fluorescent lamps with G13 and G5 caps with power input 10 watts to 65 watts at 220 to 230 volts AC, 50/60 hertz. ","PNS 2050-1-1:2007 - Lamps and related equipment-Energy efficiency and labeling requirements-Part 1-1: Double-capped fluorescent lamps","Label Comparative"," ","mandatory","Entered into Force - No Activity ","1/1/2009 0:00 ","PNS IEC 60081:2006 "," "," ","pns-2050-1-12007-lamps-and-related-equipment-energy-efficiency-and-labeling-requirements-part-1-1-double-capped-fluorescent-lamps"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Lighting/Non-directional Lamp","Residential","Electric","The program covers 3 watts to 60 watts operating up to 230volts AC, 60 hertz with Edison screw base E14 and E27. LED and PAR lamps are excluded. ","PNS 2050-2:2007 Part 2:Self-ballasted lamps for general lighting services, PNS IEC 969:2006; PNS IEC 968:2006","Label Comparative","http://www.lites.asia/files/otherfiles/0000/0193/National_Standards_and_Labels_-_Philippines_25_January_2013.pdf ","mandatory","Entered into Force - No Activity ","1/1/2003 0:00 ","PNS IEC 969:2006; PNS IEC 968:2006 "," "," ","pns-2050-22007-part-2self-ballasted-lamps-for-general-lighting-services-pns-iec-9692006-pns-iec-9682006"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Lighting/Ballast|Driver","Residential"," ","Ballasts for general lighting are included. AC supplied electronic ballasts include 10W to 40W for T12,T10,T9,T8 and T5 fluorescent lamps with G13 and G5 caps. AC supplied electromagnetic ballasts include 18W to 40W for T12,T10,T9 and T8 fluorescent lamps with G13 cap ","PNS 2050-4:2007 Lamps and related equipment-Energy labeling requirements-part4-Ballasts","Label Comparative","http://www.lites.asia/files/otherfiles/0000/0221/Sharing_experience_with_Indonesia_Philippines_Raquel_Huliganga.pdf ","mandatory","Entered into Force - No Activity ","1/8/2002 0:00 ","PNS IEC 60921:2006; PNS IEC 61347-2-8:2002; PNS IEC 61347-1:2002,PNS IEC 60929:2006 (IEC published 2003) AC supplied electronic ballasts for tubular fluorescent lamps  Performance requirements "," "," ","pns-2050-42007-lamps-and-related-equipment-energy-labeling-requirements-part4-ballasts"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Heating & Air Conditioning/Room AC","Residential","Electric","The program covers split and non-ducted window-wall type units with maximum cooling capacity of 12,000 kJ/h (10 kW) ","PNS 396-1:1995 - Household appliances - Energy efficiency ratio (EER) and labelling requirements - Part 1 : Airconditioners","Label Comparative"," ","mandatory","Entered into Force - No Activity ","1/1/2002 0:00 ","PNS-240:1998/ISO-5151:1994 "," "," ","pns-396-11995-household-appliances-energy-efficiency-ratio-eer-and-labelling-requirements-part-1-airconditioners"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Heating & Air Conditioning/Room AC","Residential","Electric","The program covers split and non-ducted window-wall type units with maximum cooling capacity of 12,000 kJ/h (10 kW) ","PNS 396-1:1995 - Household appliances - Energy efficiency ratio (EER) and labelling requirements - Part 1 : Airconditioners","Minimum Energy Performance Standard"," ","mandatory","Entered into Force - No Activity ","1/1/2002 0:00 ","PNS-240:1998/ISO-5151:1994 "," "," ","pns-396-11995-household-appliances-energy-efficiency-ratio-eer-and-labelling-requirements-part-1-airconditioners-1"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Refrigeration/Freezer","Residential","Electric","The program covers on all household refrigerators with storage volume capacity (total volume of refrigerator and freezer compartment) of 142 litres (5 cubic feet) to 227 litres (8 cubic feet) ","PNS 396-2:1997 - Household appliances - Energy efficiency factor (EEF) and labeling requirements Part 2: Regrigerators and Freezers","Label Comparative"," ","mandatory","Entered into Force - No Activity "," ","PNS 1475,PNS 1474:1997/ISO 5155:1995; PNS 1477:1996/ISO 8561:1995,PNS 1476:1996/ISO 8187:1991; PNS 1477:1996/ISO 8561:1995,PNS 1477 (ISO 8561)- Frost Free-Refrigerator, Refrigerator- Freezer, frozen food storage cooled by internal forced circulation "," "," ","pns-396-21997-household-appliances-energy-efficiency-factor-eef-and-labeling-requirements-part-2-regrigerators-and-freezers"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Refrigeration/Refrigerator","Residential","Electric","The program covers on all household refrigerators with storage volume capacity (total volume of refrigerator and freezer compartment) of 142 litres (5 cubic feet) to 227 litres (8 cubic feet) ","PNS 396-2:1997 - Household appliances - Energy efficiency factor (EEF) and labeling requirements Part 2: Regrigerators and Freezers","Label Comparative"," ","mandatory","Entered into Force - No Activity "," ","PNS 1474:1997/ISO 5155:1995; PNS 1477:1996/ISO 8561:1995,PNS 1475,PNS 1477 (ISO 8561)- Frost Free-Refrigerator, Refrigerator- Freezer, frozen food storage cooled by internal forced circulation,PNS 1476:1996/ISO 8187:1991; PNS 1477:1996/ISO 8561:1995 "," "," ","pns-396-21997-household-appliances-energy-efficiency-factor-eef-and-labeling-requirements-part-2-regrigerators-and-freezers-1"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Refrigeration/Refrigerator-Freezer","Residential","Electric","The program covers on all household refrigerators with storage volume capacity (total volume of refrigerator and freezer compartment) of 142 litres (5 cubic feet) to 227 litres (8 cubic feet) ","PNS 396-2:1997 - Household appliances - Energy efficiency factor (EEF) and labeling requirements Part 2: Regrigerators and Freezers","Label Comparative"," ","mandatory","Entered into Force - No Activity "," ","PNS 1474:1997/ISO 5155:1995; PNS 1477:1996/ISO 8561:1995,PNS 1475,PNS 1477 (ISO 8561)- Frost Free-Refrigerator, Refrigerator- Freezer, frozen food storage cooled by internal forced circulation,PNS 1476:1996/ISO 8187:1991; PNS 1477:1996/ISO 8561:1995 "," "," ","pns-396-21997-household-appliances-energy-efficiency-factor-eef-and-labeling-requirements-part-2-regrigerators-and-freezers-2"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Lighting/Tubular Lamp","Residential","Electric","This standard covers single capped Circular fluorescent lamps for general lighting services ","PNS IEC 901:2001 Single Capped fluorescent lamps-performance requirements","Label Comparative","http://www.lites.asia/files/otherfiles/0000/0221/Sharing_experience_with_Indonesia_Philippines_Raquel_Huliganga.pdf ","mandatory","Entered into Force - No Activity ","1/1/2009 0:00 ","PNS IEC 60901:2001 Amd. 01, 02, & 03:2006 "," "," ","pns-iec-9012001-single-capped-fluorescent-lamps-performance-requirements"
Philippines,"Department of Energy","https://www.doe.gov.ph/energy-labelling","Lighting/Non-directional Lamp","Residential","Electric"," ","PNS IEC 969:2006 - Self Ballasted Lamps for General Lighting Service - Performance Requirements","Minimum Energy Performance Standard"," ","mandatory","Entered into Force - No Activity ","1/1/2002 0:00 ","PNS IEC 969:2006; PNS IEC 968:2006 "," "," ","pns-iec-9692006-self-ballasted-lamps-for-general-lighting-service-performance-requirements"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Cooking & Dishwashing/Dishwasher","Residential"," ","This standard applies to energy efficiency label of DISHWASHERS. ","7820/2014","Label Comparative","http://www.eos.org.eg/en/standard/14008 ","mandatory"," "," "," "," "," ","7820-2014"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Heating & Air Conditioning/Room AC","Multi-Sector","Electric"," ","3795/2013","Label Comparative","http://www.eos.org.eg/en/standard/8643 ","mandatory","Entered into Force - No Activity ","12/29/2003 ","NT 81.133 "," "," ","3795-2013"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Laundry/Clothes Washer","Residential","Electric","Energy Efficiency specifications for washing machines were developed and approved by the Egyptian Organization for Standardization and Quality Control (EOS). A ministerial decree of the Minister of Industry was issued in 2003 concerning refrigerators, washing machines, freezers and room air-conditioning as a mandatory for local manufacturers and imported equipments to enforce the application of these specifications, as well as the Energy Efficiency Label. ","4100/2006","Label Comparative","http://www.eos.org.eg/en/standard/4472 ","mandatory","Entered into Force - No Activity ","5/14/2006 "," "," "," ","4100-2006"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Laundry/Clothes Washer","Residential","Electric"," ","4100/2006","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/4472 ","mandatory","Under Revision ","5/14/2006 "," "," "," ","4100-2006-1"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Lighting/Non-directional Lamp","Residential","Electric","This standard applies to energy efficiency label of household lamps - household electric lamps supplied directly from the mains (filament and integral compact fluorescent lamps), and to household fluorescent lamps (including linear, and non-integral compact fluorescent lamps), even when marketed for non-household use. This standard complies with European Directive (98/11/EC). ","7823/2014","Label Comparative","http://www.eos.org.eg/en/standard/7678 ","voluntary","Under Revision ","11/24/2014 "," "," "," ","7823-2014"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Motors/Small 3-phase General Purpose ","Industrial","Electric"," ","6791/2008","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/9146 ","mandatory","Entered into Force - No Activity ","11/18/2008 "," "," "," ","6791-2008"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Power Supply & Power Conversion/Transformer","Industrial","Electric"," ","6977/2009","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/10626 ","mandatory","Entered into Force - No Activity ","6/16/2009 "," "," "," ","6977-2009"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Refrigeration/Freezer","Residential","Electric"," ","3794/2006","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/4358 ","mandatory","Under Revision ","4/24/2006 0:00 ","NT 81.75 "," "," ","3794-2006"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Refrigeration/Refrigerator-Freezer","Residential","Electric"," ","3794/2006","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/4358 ","mandatory","Entered into Force - No Activity ","5/14/2006 ","NT 81.75 "," "," ","3794-2006-1"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Refrigeration/Refrigerator","Residential","Electric"," ","3794/2006","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/4358 ","mandatory","Entered into Force - No Activity ","5/14/2006 ","NT 81.70 NT 81.71 "," "," ","3794-2006-2"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Refrigeration/Refrigerator","Residential","Electric"," ","3794/2006","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/4358 ","mandatory","Under Revision ","5/14/2006 ","NT 81.75 "," "," ","3794-2006-3"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Refrigeration/Refrigerator","Residential","Electric","Energy Efficiency specifications for Refrigerators & freezers, were developed and approved by the Egyptian Organization for Standardization and Quality Control (EOS). A ministerial decree of the Minister of Industry was issued in 2003 concerning refrigerators, washing machines, freezers and room air-conditioning as a mandatory for local manufacturers and imported equipments to enforce the application of these specifications, as well as the Energy Efficiency Label. ","3794/2006","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/4358 ","mandatory","Entered into Force - No Activity ","5/14/2006 "," "," "," ","3794-2006-4"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Refrigeration/Refrigerator","Residential","Electric","Energy Efficiency specifications for Refrigerators & freezers, were developed and approved by the Egyptian Organization for Standardization and Quality Control (EOS). A ministerial decree of the Minister of Industry was issued in 2003 concerning refrigerators, washing machines, freezers and room air-conditioning as a mandatory for local manufacturers and imported equipments to enforce the application of these specifications, as well as the Energy Efficiency Label. ","3794/2006","Label Comparative","http://www.eos.org.eg/en/standard/4358 ","mandatory","Entered into Force - No Activity ","1/1/2003 0:00 ","NT 81.70 NT 81.71 "," "," ","3794-2006-5"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Refrigeration/Freezer","Residential","Electric","Energy Efficiency specifications for freezers were developed and approved by the Egyptian Organization for Standardization and Quality Control (EOS). A ministerial decree of the Minister of Industry was issued in 2003 concerning refrigerators, washing machines, freezers and room air-conditioning as a mandatory for local manufacturers and imported equipments to enforce the application of these specifications, as well as the Energy Efficiency Label. ","3794/2006","Label Comparative","http://www.eos.org.eg/en/standard/4358 ","mandatory","Entered into Force - No Activity ","5/14/2006 ","NT 81.75 "," "," ","3794-2006-6"
Egypt,"Egyptian Organization for Standardization and Quality Control (EOS)","http://www.eos.org.eg/","Water Heating/Water Heater Storage","Residential","Electric"," ","5806/2007","Minimum Energy Performance Standard","http://www.eos.org.eg/en/standard/6413 ","mandatory","Entered into Force - No Activity ","2/8/2007 "," "," "," ","5806-2007"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Heating & Air Conditioning/Room AC","Residential","Electric","Single split wall mounted air conditioner capacity up to 25, 000 Btu/h ","Performance indicator and testing standard for air conditioners","Minimum Energy Performance Standard","http://www.st.gov.my/index.php/en/consumer/electricity/efficient-use-of-electricity/energy-efficient-appliances ","mandatory","Entered into Force - No Activity ","5/3/2013 0:00 ","MS ISO 5151:2004 "," "," ","performance-indicator-and-testing-standard-for-air-conditioners"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Heating & Air Conditioning/Room AC","Residential","Electric","Single split wall mounted air conditioner capacity up to 25, 000 Btu/h ","Performance indicator and testing standard for air conditioners","Label Comparative","http://www.st.gov.my/index.php/en/consumer/electricity/efficient-use-of-electricity/energy-efficient-appliances ","voluntary","Entered into Force - No Activity ","1/1/2009 0:00 ","MS ISO 5151:2004 "," "," ","performance-indicator-and-testing-standard-for-air-conditioners-1"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Lighting/Ballast|Driver","Multi-Sector","Electric"," ","Performance indicator and testing standard for ballasts","Minimum Energy Performance Standard","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS 141: Part 2 :1993 Testing Standard for Conventional Ballasts, MS IEC 929 :1995 Testing Standard for Electronic Ballasts "," "," ","performance-indicator-and-testing-standard-for-ballasts"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Lighting/Tubular Lamp","Multi-Sector","Electric"," ","Performance indicator and testing standard for tubular flourscent lamp","Minimum Energy Performance Standard","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 60969:2006 (Self-ballasted lamps for general lighting services  Performance requirements) for fluorescent lamps. "," "," ","performance-indicator-and-testing-standard-for-tubular-flourscent-lamp"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Lighting/Tubular Lamp","Multi-Sector","Electric"," ","Performance indicator and testing standard for electric lamps","Minimum Energy Performance Standard","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 60969:2006 (Self-ballasted lamps for general lighting services  Performance requirements) for fluorescent lamps. "," "," ","performance-indicator-and-testing-standard-for-electric-lamps"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Refrigeration/Freezer","Residential","Electric"," ","Performance indicator and testing standard for refrigerator","Minimum Energy Performance Standard","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 62552:2011 "," "," ","performance-indicator-and-testing-standard-for-refrigerator"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Refrigeration/Freezer","Residential","Electric"," ","Performance indicator and testing standard for refrigerator","Label Comparative","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 62552:2011 "," "," ","performance-indicator-and-testing-standard-for-refrigerator-1"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Refrigeration/Refrigerator","Residential","Electric"," ","Performance indicator and testing standard for refrigerator","Minimum Energy Performance Standard","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 62552:2011 "," "," ","performance-indicator-and-testing-standard-for-refrigerator-2"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Refrigeration/Refrigerator","Residential","Electric"," ","Performance indicator and testing standard for refrigerator","Label Comparative","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 62552:2011 "," "," ","performance-indicator-and-testing-standard-for-refrigerator-3"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Refrigeration/Refrigerator-Freezer","Residential","Electric"," ","Performance indicator and testing standard for refrigerator","Minimum Energy Performance Standard","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 62552:2011 "," "," ","performance-indicator-and-testing-standard-for-refrigerator-4"
Malaysia,"Suruhanjaya Tenaga - ST (Energy Commission)","http://www.st.gov.my/","Refrigeration/Refrigerator-Freezer","Residential","Electric"," ","Performance indicator and testing standard for refrigerator","Label Comparative","http://www.st.gov.my/index.php/en/applications/energy-efficiency/energy-efficient-products ","mandatory","Entered into Force - No Activity "," ","MS IEC 62552:2011 "," "," ","performance-indicator-and-testing-standard-for-refrigerator-5"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Cooking & Dishwashing/Rice Cooker","Residential","Electric"," ","Vietnam Decision No. 03/2013/QD-TTg ","Minimum Energy Performance Standard","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-nuhttp:/thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","1/1/2015 0:00 "," "," "," ","vietnam-decision-no-03-2013-qd-ttg"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Cooking & Dishwashing/Rice Cooker","Residential","Electric"," ","Vietnam Decision No. 03/2013/QD-TTg ","Label Comparative","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","1/1/2013 0:00 ","TCVN 8252:2009 "," "," ","vietnam-decision-no-03-2013-qd-ttg-1"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Cooking & Dishwashing/Rice Cooker","Residential","Electric"," ","LIST OF EQUIPMENT AND APPLIANCES TO WHICH THE MANDATORY ENERGY LABELING AND MINIMUM ENERGY EFFICIENCY STANDARDS ARE APPLIED, AND THE ROADMAP TO THEIR IMPLEMENTATION","Label Endorsement","https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Quyet-dinh-04-2017-QD-TTg-danh-muc-phuong-tien-thiet-bi-phai-dan-nhan-nang-luong-321322.aspx ","mandatory","Entered into Force - No Activity ","9/3/2017 "," "," "," ","list-of-equipment-and-appliances-to-which-the-mandatory-energy-labeling-and-minimum-energy-efficiency-standards-are-applied-and-the-roadmap-to-their-implementation"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Heating & Air Conditioning/Room AC","Residential","Electric"," ","Vietnam Decision No. 03/2013/QD-TTg ","Minimum Energy Performance Standard","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","1/1/2015 0:00 ","TCVN 7830:2015 "," "," ","vietnam-decision-no-03-2013-qd-ttg-2"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Heating & Air Conditioning/Room AC","Residential","Electric"," ","Vietnam Decision No. 03/2013/QD-TTg ","Label Comparative","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","7/1/2013 0:00 ","TCVN 7830:2015 "," "," ","vietnam-decision-no-03-2013-qd-ttg-3"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Laundry/Clothes Washer","Residential","Electric"," ","LIST OF EQUIPMENT AND APPLIANCES TO WHICH THE MANDATORY ENERGY LABELING AND MINIMUM ENERGY EFFICIENCY STANDARDS ARE APPLIED, AND THE ROADMAP TO THEIR IMPLEMENTATION","Label Endorsement","https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Quyet-dinh-04-2017-QD-TTg-danh-muc-phuong-tien-thiet-bi-phai-dan-nhan-nang-luong-321322.aspx ","mandatory","Entered into Force - No Activity ","9/3/2017 ","TCVN 8526:2013 "," "," ","list-of-equipment-and-appliances-to-which-the-mandatory-energy-labeling-and-minimum-energy-efficiency-standards-are-applied-and-the-roadmap-to-their-implementation-1"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Laundry/Clothes Washer","Residential","Electric","Top loading washing machine ","Vietnam Decision No. 03/2013/QD-TTg ","Label Comparative","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","7/1/2013 0:00 "," "," "," ","vietnam-decision-no-03-2013-qd-ttg-4"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Laundry/Clothes Washer","Residential","Electric","Front loading washing machine ","Vietnam Decision No. 03/2013/QD-TTg ","Label Comparative","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","1/1/2014 0:00 ","TCVN 8526:2013 "," "," ","vietnam-decision-no-03-2013-qd-ttg-5"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Laundry/Clothes Washer","Residential","Electric"," ","Vietnam Decision No. 03/2013/QD-TTg ","Minimum Energy Performance Standard","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","1/1/2015 0:00 ","TCVN 8526:2013 "," "," ","vietnam-decision-no-03-2013-qd-ttg-6"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Lighting/Ballast|Driver","Multi-Sector","Electric","Electronic ballasts for fluorescent lamps ","Vietnam Decision No. 03/2013/QD-TTg ","Label Comparative","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","7/1/2013 0:00 ","TCVN 7897:2008 "," "," ","vietnam-decision-no-03-2013-qd-ttg-7"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Lighting/Ballast|Driver","Multi-Sector","Electric","Electronic ballasts ","LIST OF EQUIPMENT AND APPLIANCES TO WHICH THE MANDATORY ENERGY LABELING AND MINIMUM ENERGY EFFICIENCY STANDARDS ARE APPLIED, AND THE ROADMAP TO THEIR IMPLEMENTATION","Label Endorsement","https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Quyet-dinh-04-2017-QD-TTg-danh-muc-phuong-tien-thiet-bi-phai-dan-nhan-nang-luong-321322.aspx ","mandatory","Entered into Force - No Activity ","1/14/2013 "," "," "," ","list-of-equipment-and-appliances-to-which-the-mandatory-energy-labeling-and-minimum-energy-efficiency-standards-are-applied-and-the-roadmap-to-their-implementation-2"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Lighting/Ballast|Driver","Multi-Sector","Electric","Electronic ballasts for fluorescent lamps ","Vietnam Decision No. 03/2013/QD-TTg ","Minimum Energy Performance Standard","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","1/1/2015 0:00 ","TCVN 7897:2013 "," "," ","vietnam-decision-no-03-2013-qd-ttg-8"
Vietnam,"Ministry of Industry and Trade (MOIT)","http://www.moit.gov.vn/vn/Pages/Trangchu.aspx","Lighting/Ballast|Driver","Multi-Sector","Electric","Electromagnetic ballasts for fluorescent lamps ","Vietnam Decision No. 03/2013/QD-TTg ","Minimum Energy Performance Standard","http://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Decision-No-03-2013-QD-TTg-amending-and-supplementing-a-number-of-articles-183330.aspx ","mandatory","Entered into Force - No Activity ","1/1/2015 0:00 ","TCVN 8248:2013 "," "," ","vietnam-decision-no-03-2013-qd-ttg-9"
